address,species,sidewalk_condition,location
743 E 58 ST,ACPL,Raised,"-73.92104, 40.636721"
743 E 78 ST,PLAC,Raised,"-73.916064, 40.635716"
743 E 80 ST,PLAC,Raised,"-73.914575, 40.636677"
744 52 ST,TICO,Raised,"-74.006087, 40.640727"
744 53 ST,QURU,Raised,"-74.006669, 40.640165"
744 55 ST,ACRU,Raised,"-74.007832, 40.639045"
744 E 211 ST,ACRU,Raised,"-73.863693, 40.877499"
744 E 80 ST,PLAC,Raised,"-73.914559, 40.636662"
744 FARRAGUT RD,SOJA,Raised,"1.0, 1.0"
744 LENOX RD,ACSA2,Raised,"-73.932362, 40.655237"
744 LENOX RD,PLAC,Raised,"-73.932362, 40.655237"
744 Penn Ave,GLTR,Raised,"1.0, 1.0"
745 53 ST,QURU,Raised,"-74.006669, 40.640165"
745 57 ST,PLAC,Raised,"-74.008998, 40.637925"
745 Penn Ave,GLTR,Raised,"1.0, 1.0"
745 QUINCY ST,PLAC,Raised,"-73.928685, 40.689485"
745 RENSSELAER AV,ACSA1,Raised,"-74.199365, 40.539594"
746 48 ST,PLAC,Raised,"-74.003711, 40.642941"
746 52 ST,TICO,Raised,"-74.006044, 40.640701"
746 55 ST,QURU,Raised,"-74.00779, 40.63902"
746 57 ST,PLAC,Raised,"-74.008955, 40.6379"
746 CARROLL ST,PLAC,Raised,"-73.977042, 40.673479"
746 E 217 ST,ACPS,NA,"-73.862231, 40.881736"
746 E 58 ST,PLAC,Raised,"-73.92105, 40.636819"
746 E 83 ST,PLAC,Raised,"-73.912347, 40.638069"
746 E 85 ST,ACPL,Raised,"-73.910893, 40.639009"
746 UNION ST,ACPL,Raised,"-73.978255, 40.675553"
747 3 AV,ACRU,NA,"-73.972392, 40.753588"
747 3 AV,GLTR,NA,"-73.972392, 40.753588"
747 3 AV,QUPA,NA,"-73.972392, 40.753588"
747 49 ST,PLAC,Raised,"-74.004293, 40.642381"
747 BARTHOLDI ST,ACSA2,Raised,"-73.865138, 40.874105"
747 BRADFORD ST,PLAC,Raised,"-73.887809, 40.660552"
747 E 226 ST,GLTR,Raised,"-73.858724, 40.888082"
747 E 226 ST,TICO,Raised,"-73.858724, 40.888082"
747 E 226 ST,GIBI,Raised,"-73.858724, 40.888082"
747 E 58 ST,PLAC,Raised,"-73.921028, 40.636616"
748 49 ST,PLAC,Raised,"-74.004248, 40.642354"
748 CRAWFORD AV,PLAC,Raised,"-73.962597, 40.592117"
748 E 211 ST,ACRU,NA,"-73.863489, 40.877492"
748 OCEAN AV,PLAC,Raised,"-73.959944, 40.644474"
748 ROSEDALE AV,ACSA1,Raised,"-73.866443, 40.819791"
748 UNION ST,GIBI,Raised,"-73.978168, 40.675519"
749 3 AV,ACPL,NA,"-73.97233, 40.753674"
749 54 ST,GLTR,Raised,"-74.007163, 40.639554"
749 E 217 ST,ACPL,NA,"-73.862172, 40.881717"
749 RENSSELAER AV,LIST,Raised,"-74.199508, 40.539555"
749 TROY AV,ACPL,Raised,"-73.93655, 40.654994"
749 VERMONT ST,PLAC,Raised,"-73.890375, 40.661121"
75 ARDMORE AV,PLAC,Raised,"-74.139149, 40.609517"
75 ASCAN AV,FRPE,NA,"1.0, 1.0"
75 ATLANTIC AV,PLAC,Raised,"-73.997803, 40.691191"
75 BAY 25 ST,PLAC,Raised,"-73.999085, 40.602645"
75 BRYANT AV,PLAC,Raised,"-74.113186, 40.577429"
75 COLLEGE AV,QUPA,Raised,"-74.123241, 40.621891"
75 CONKLIN AV,ACPL,Raised,"-73.904472, 40.642299"
75 CORBIN PL,ACPL,Raised,"-73.95464, 40.580092"
